Jul 02 23:08:45 <rishi>	<--------CLASS STARTS----------->
Jul 02 23:31:34 <ecntrk>	if the file number is biger.. like 20.. then we have to again redundantly specify those names..<eof.
Jul 02 23:32:09 <rishi>	ecntrk: If the filenames have a particular format then you can use regular expressions or wildcards.
Jul 02 23:32:21 <ecntrk>	I see..thnx..<eof>
Jul 02 23:32:25 <rishi>	Say you have 500 .html files and 20 .txt files.
Jul 02 23:32:31 <ecntrk>	*thanks..
Jul 02 23:32:40 <rishi>	ecntrk: Problem solved?
Jul 02 23:32:51 <ecntrk>	yes... Thanks...<eof>
Jul 02 23:32:52 <rishi>	bose_aritra: Ask.
Jul 02 23:32:55 <bose_aritra>	if i want to move dir1 to more than one place, can it be done?
Jul 02 23:32:58 <bose_aritra>	if so, how?<eof>
Jul 02 23:33:20 *	susenj__ (n=chatzill@59.178.187.187) has joined #dgplug
Jul 02 23:33:32 <rishi>	bose_aritra: Nope.
Jul 02 23:33:49 <rishi>	bose_aritra: If you look closely at the man page you will notice:
Jul 02 23:34:01 <rishi>	"...or move SOURCE(s) to DIRECTORY.".
Jul 02 23:34:35 <rishi>	bose_aritra: Consider we are moving multiple sources:
Jul 02 23:34:52 <rishi>	$ mv ~/src1 ~/src2 /tmp
Jul 02 23:35:02 *	indradg_ (n=indradg@59.93.211.190) has joined #dgplug
Jul 02 23:35:18 <rishi>	...and in the imaginary case of moving to multiple destinations:
Jul 02 23:35:30 <rishi>	$ mv ~/src /dest1 /dest2
Jul 02 23:35:54 <rishi>	It becomes complicated to parse which one is destination and which one is source (not that it can not be done).
Jul 02 23:35:55 <bose_aritra>	ok
Jul 02 23:36:43 <sunny_slls>	!
Jul 02 23:36:46 <rishi>	bose_aritra: Satisfied? Or is there some lingering doubt?
Jul 02 23:37:06 <bose_aritra>	no its done
Jul 02 23:37:10 <rishi>	Lets make the question from sunny_slls the last question on mv for the moment.
Jul 02 23:37:13 <rishi>	sunny_slls: Ask.
Jul 02 23:37:22 <sunny_slls>	what is biger file?
Jul 02 23:37:37 *	Pramit_ has quit ("ChatZilla 0.9.83 [Firefox 3.0/2008052906]")
Jul 02 23:37:53 <rishi>	sunny_slls: A file which is bigger in size than some other file.
Jul 02 23:38:50 <sunny_slls>	rishi, means a biger file is specified separately to move.........why?
Jul 02 23:39:07 *	Atanu_bera has quit ("ChatZilla 0.9.83 [Firefox 3.0/2008052906]")
Jul 02 23:39:24 <rishi>	sunny_slls: Where did you read that?
Jul 02 23:39:51 <sunny_slls>	rishi, ecntrk asked you
Jul 02 23:40:04 <sunny_slls>	rishi, previously
Jul 02 23:40:33 <rishi>	sunny_slls: He mentioned a bigger number of files, which is different from bigger file.
Jul 02 23:40:44 <rishi>	Ok. Lets move on.
Jul 02 23:40:56 <rishi>	Some of the useful options that can be used with mv are: -b, -f, -i and -u.
Jul 02 23:40:57 <sunny_slls>	rishi, thanks
Jul 02 23:41:34 <rishi>	The first three deal with how to handle a scenario where a similarly named file exists in the destination directory.
Jul 02 23:41:48 *	techno_freak has quit ("time to sleep")
Jul 02 23:42:01 <rishi>	So say you have ~/foo and /tmp/foo and you have done:
Jul 02 23:42:10 <rishi>	$ mv ~/foo /tmp
Jul 02 23:42:51 <rishi>	If you used -b, then mv will save the older /tmp/foo as /tmp/foo~ before overwiriting with the one that came from ~/foo.
Jul 02 23:43:05 <rishi>	So you will end up with /tmp/foo and /tmp/foo~
Jul 02 23:43:41 <rishi>	If  you had used -i, then it will ask you before overwriting. It will be a simple yes or no and no backups will be used.
Jul 02 23:44:24 <rishi>	And -f is almost opposite to -i, since it will silently overwrite and never prompt.
Jul 02 23:44:59 <rishi>	The -u or update option is a bit more intelligent.
Jul 02 23:45:17 *	tux_440volt has quit ("Leaving")
Jul 02 23:45:22 *	pushkal (n=chatzill@117.197.16.25) has joined #dgplug
Jul 02 23:45:43 *	susenj_ has quit (Read error: 110 (Connection timed out))
Jul 02 23:46:02 <rishi>	It is similar to -f, but it will only overwrite an existing file, if the source file is newer (modification time) is newer than the existing destination entry.
Jul 02 23:46:05 <rishi>	Any questions?
Jul 02 23:46:42 <ria>	!
Jul 02 23:46:55 <rishi>	ria: Ask.
Jul 02 23:46:56 <sunny_slls>	!
Jul 02 23:47:02 <ria>	what will happen if we write no in the -i option?
Jul 02 23:47:15 <ria>	and if yes then?
Jul 02 23:47:19 <ria>	<eof>
Jul 02 23:47:47 <rishi>	'no' will not overwrite, 'yes' will overwrite.
Jul 02 23:48:06 <ria>	what will happen if we write no?
Jul 02 23:48:13 <ria>	will there be no action?
Jul 02 23:48:40 *	chacha_chaudhry has quit (Read error: 104 (Connection reset by peer))
Jul 02 23:49:01 <rishi>	Anymore queries?
Jul 02 23:49:51 <ria>	i asked what if no?
Jul 02 23:49:56 <sunny_slls>	rishi, explain once more the difference between -f and -u
Jul 02 23:49:58 <ria>	rishi, ^^^
Jul 02 23:50:04 <rishi>	sunny_slls: Wait a moment.
Jul 02 23:50:23 <ria>	rishi, will the file be not moved then?
Jul 02 23:50:24 *	Debashree has quit (Read error: 104 (Connection reset by peer))
Jul 02 23:50:29 <rishi>	ria: If you say 'no' it will not overwrite the destination file and the source file will be skipped and not moved.
Jul 02 23:50:39 <rishi>	ria: No it will not be moved.
Jul 02 23:50:44 <ria>	rishi, ok
Jul 02 23:50:47 <ria>	<eof>
Jul 02 23:50:51 <rishi>	sunny_slls: Ok.
Jul 02 23:51:03 <rishi>	Imagine the source is older than the destination.
Jul 02 23:51:20 <rishi>	So -f will blindly overwrite the newer destination with the older source.
Jul 02 23:51:33 <rishi>	sunny_slls: -u will not do that and retain the newer destination.
Jul 02 23:51:48 <rishi>	Only if the source was newer it would have overwritten it.
Jul 02 23:51:50 <rishi>	sunny_slls: Clear?
Jul 02 23:51:53 *	Debashree (n=Debashre@61.2.165.216) has joined #dgplug
Jul 02 23:52:09 <sunny_slls>	rishi, yes
Jul 02 23:52:20 <rishi>	Ok. Can we go ahead?
Jul 02 23:52:28 *	rishi hopes people are awake
Jul 02 23:52:33 <susenj__>	yes
Jul 02 23:52:41 <Kishan>	yes
Jul 02 23:52:44 <sunny_slls>	rishi,yes
Jul 02 23:52:50 <rishi>	Nice. :-)
Jul 02 23:52:55 <rishi>	So what was our next command?
Jul 02 23:53:05 <ria>	yes :)
Jul 02 23:53:08 <rishi>	Can we take mkdir?
Jul 02 23:53:35 <susenj__>	ok,but ln is next
Jul 02 23:53:43 <deepak>	yes
Jul 02 23:54:20 <rishi>	susenj__: Lets take up mkdir, and we will come back to ln after it.
Jul 02 23:54:56 <susenj__>	rishi:ok
Jul 02 23:55:05 <rishi>	susenj__: mkdir is smaller and simpler.
Jul 02 23:55:21 <rishi>	As the name suggests, mkdir makes directories.
Jul 02 23:55:21 *	rangeen has quit (Read error: 113 (No route to host))
Jul 02 23:55:43 <rishi>	$ mkdir ~/foo
Jul 02 23:55:49 *	amrita_ (n=amrita@117.201.97.3) has joined #dgplug
Jul 02 23:56:04 <rishi>	... will create directory (not a regular file) in your home directory.
Jul 02 23:56:24 <rishi>	I hope you remember '~' and '$HOME' denotes the home directory.
Jul 02 23:56:28 *	amrita has quit (Nick collision from services.)
Jul 02 23:56:35 *	amrita_ is now known as amrita
Jul 02 23:57:02 *	rangeen (i=sherry@220.226.72.62) has joined #dgplug
Jul 02 23:58:01 <rishi>	Now the interesting options are: - or --mode and -p or --parents.
Jul 02 23:58:03 *	amrita_ (n=amrita@117.201.97.3) has joined #dgplug
Jul 02 23:58:19 *	amrita_ has quit (Client Quit)
Jul 02 23:58:38 *	susenj__ is now known as susenj
Jul 02 23:58:41 <rishi>	-m or --mode is used to set the permissions of the new directory that will be created.
Jul 02 23:58:45 <rishi>	So instead of doing:
Jul 02 23:58:52 <rishi>	$ mkdir ~/foo
Jul 02 23:59:01 <rishi>	$ chmod 700 ~/foo
Jul 02 23:59:05 <rishi>	... you can do:
Jul 02 23:59:15 <rishi>	$ mkdir -m 700 ~/foo
Jul 02 23:59:48 *	Soumya (n=Soumya@59.164.98.244) has joined #dgplug
Jul 03 00:00:31 <rishi>	To understand -p or --parents assume you want to create: ~/newdir/newdir1.
Jul 03 00:00:48 <rishi>	... where both newdir and newdir1 does not exist.
Jul 03 00:00:57 <rishi>	So if one tries to do:
Jul 03 00:01:05 <rishi>	$ mkdir ~/newdir/newdir1
Jul 03 00:01:36 <rishi>	... mkdir will throw an error and not create any directory.
Jul 03 00:01:43 <rishi>	So you can either do:
Jul 03 00:01:48 <rishi>	$ mkdir ~/newdir
Jul 03 00:01:51 <rishi>	$ mkdir ~/newdir/newdir1
Jul 03 00:01:56 <rishi>	... or you can do:
Jul 03 00:02:04 <rishi>	$ mkdir -p ~/newdir/newdir1
Jul 03 00:03:57 *	stephaniewhiting has quit ("ChatZilla 0.9.82.1 [Firefox 2.0.0.14/2008040413]")
Jul 03 00:04:12 *	stephaniewhiting (n=chatzill@65.89.170.203) has joined #dgplug
Jul 03 00:05:07 <sunny_slls>	!
Jul 03 00:06:34 *	makghosh has quit (Read error: 110 (Connection timed out))
Jul 03 00:07:55 *	susenj (n=chatzill@59.178.187.187) has left #dgplug
Jul 03 00:08:04 <sunny_slls>	!
Jul 03 00:08:35 *	susenj (n=chatzill@59.178.187.187) has joined #dgplug
Jul 03 00:10:16 <ria>	rishi, are you there?
Jul 03 00:10:38 <ria>	i think he is offline
Jul 03 00:10:41 *	khushi__ (n=khushbu@59.180.138.160) has joined #dgplug
Jul 03 00:10:46 <ecntrk>	yah.. me too.
Jul 03 00:10:49 <sunny_slls>	rishi, hey are you there
Jul 03 00:11:28 <ria>	wait for him to come
Jul 03 00:11:34 <rishi>	Any problems regarding mkdir?
Jul 03 00:11:45 <rishi>	sunny_slls: Ask.
Jul 03 00:11:51 <rishi>	sunny_slls: Ask.
Jul 03 00:11:56 <rishi>	sunny_slls: Ask.
Jul 03 00:12:02 <rishi>	ria: Yes. Waiting for sunny_slls to actually ask something.
Jul 03 00:12:05 <rishi>	sunny_slls: No, I am in paradise. :-)
Jul 03 00:12:12 <ria>	rishi, ok
Jul 03 00:12:19 <ria>	:)
Jul 03 00:12:29 <rishi>	ria: Wait for whom to come.
Jul 03 00:12:35 *	amrita_ (n=amrita@117.201.96.109) has joined #dgplug
Jul 03 00:12:37 <sunny_slls>	why error is created
Jul 03 00:12:50 <ria>	rishi, actually for you :)
Jul 03 00:12:53 *	amrita has quit (Nick collision from services.)
Jul 03 00:12:59 *	amrita_ is now known as amrita
Jul 03 00:13:50 <sunny_slls>	rishi, why there is an error while creating two directories
Jul 03 00:13:59 *	khushi__ has quit (Client Quit)
Jul 03 00:14:02 *	khushi__ (n=khushbu@59.180.138.160) has joined #dgplug
Jul 03 00:14:18 <rishi>	sunny_slls: Can I see your command?
Jul 03 00:15:26 <sunny_slls>	$ mkdir ~/newdir/newdir1
Jul 03 00:15:50 <sunny_slls>	rishi, why it will throw error
Jul 03 00:16:26 <susenj>	because they are not existing,right rishi?
Jul 03 00:17:12 <sunny_slls>	so why
Jul 03 00:17:13 <rishi>	susenj: Because ~/newdir is missing, so its a bit strange to create a child directory inside it.
Jul 03 00:17:23 <rishi>	sunny_slls: That is why -p is there.
Jul 03 00:17:44 <susenj>	yes,the same i wanted to tell....<eof>
Jul 03 00:18:49 *	amrita_ (n=amrita@117.201.96.109) has joined #dgplug
Jul 03 00:19:08 *	amrita_ has quit (Client Quit)
Jul 03 00:19:44 *	rsa_md5 has quit ("Leaving")
Jul 03 00:19:52 *	rangeen has quit ("Ah La La and Tata")
Jul 03 00:19:56 <rishi>	susenj: Are you asking _why_ -p was necessary as a separate option?
Jul 03 00:19:59 <sunny_slls>	rishi,  ~/newdir  and then  ~/newdir/newdir1-----does this mean that we are creating a new directory and then directory1
Jul 03 00:20:15 *	Debashree has quit (Read error: 104 (Connection reset by peer))
Jul 03 00:20:21 <susenj>	no no i understood<eof>
Jul 03 00:20:59 <rishi>	sunny_slls: Yes.
Jul 03 00:21:15 <sunny_slls>	rishi, thanks
Jul 03 00:21:18 <arpita>	!
Jul 03 00:21:27 *	indradg_ is now known as indradg
Jul 03 00:21:28 <arpita>	what is the job of -p??
Jul 03 00:21:31 *	Debashree (n=Debashre@61.2.165.19) has joined #dgplug
Jul 03 00:21:39 <deepak>	!
Jul 03 00:21:50 <rishi>	arpita: Ask.
Jul 03 00:21:54 <rishi>	deepak: Wait a minute.
Jul 03 00:22:05 <arpita>	job of -p?
Jul 03 00:22:23 <rishi>	arpita: Did you get disconnected? I just explained it.
Jul 03 00:23:17 <rishi>	arpita: Ping?
Jul 03 00:23:39 <arpita>	yes please repeat if possible
Jul 03 00:24:22 <rishi>	See the scrollback and ask. Till then I will take deepak's question.
Jul 03 00:24:24 <rishi>	deepak: Ask.
Jul 03 00:24:39 <deepak>	rishi:which one will be created first newdir or newdir1 in /newdir/newdir1?
Jul 03 00:25:02 <rishi>	deepak: Obviously newdir, because if the parent does not exist how can you have the child?
Jul 03 00:25:16 <sunny_slls>	dir will be created first , isn't rishi?
Jul 03 00:25:26 <deepak>	ok <eof>
Jul 03 00:25:32 <rishi>	sunny_slls: Don't speak out of turn.
Jul 03 00:25:33 *	chacha_chaudhry (n=dev@gnu-india/supporter/rakeshpandit) has joined #dgplug
Jul 03 00:25:47 <rishi>	For those, like arpita, who missed the -p option:
Jul 03 00:25:49 <rishi>	<rishi> To understand -p or --parents assume you want to create: ~/newdir/newdir1.
Jul 03 00:25:49 <rishi>	 ... where both newdir and newdir1 does not exist.
Jul 03 00:25:49 <rishi>	 So if one tries to do:
Jul 03 00:25:49 <rishi>	 $ mkdir ~/newdir/newdir1
Jul 03 00:25:49 <rishi>	 ... mkdir will throw an error and not create any directory.
Jul 03 00:25:50 <sunny_slls>	rishi, sorry
Jul 03 00:25:51 <rishi>	 So you can either do:
Jul 03 00:25:55 <rishi>	 $ mkdir ~/newdir
Jul 03 00:25:57 <rishi>	 $ mkdir ~/newdir/newdir1
Jul 03 00:25:59 <rishi>	 ... or you can do:
Jul 03 00:26:01 <rishi>	 $ mkdir -p ~/newdir/newdir1
Jul 03 00:26:15 <rishi>	deepak: Clear?
Jul 03 00:26:29 <ria>	can we move ahead?
Jul 03 00:26:30 <deepak>	rishi:yes
Jul 03 00:26:38 <arpita>	!
Jul 03 00:27:11 <arpita>	if we give names of directories that already exist in this command will it show erroe?
Jul 03 00:27:14 <arpita>	error?
Jul 03 00:28:06 <rishi>	arpita: Give an example command / case.
Jul 03 00:28:25 *	khushi has quit (Read error: 110 (Connection timed out))
Jul 03 00:28:42 *	khushi__ is now known as khushi
Jul 03 00:29:57 <arpita>	i mean if mkdir/newdir/newdir1 in this case newdir and newdir1 already exist it will show error?/
Jul 03 00:30:02 *	amrita_ (n=amrita@117.201.96.109) has joined #dgplug
Jul 03 00:30:10 *	amrita_ has quit (Client Quit)
Jul 03 00:30:31 <rishi>	arpita: Without -p you will get an error, with -p you won't.
Jul 03 00:30:43 <rishi>	arpita: Do you have access to Unix right now?
Jul 03 00:30:50 *	chiks has quit ("ChatZilla 0.9.83 [Firefox 2.0.0.14/2008040413]")
Jul 03 00:30:50 <arpita>	yes
Jul 03 00:31:27 <rishi>	arpita: So why don't you try out the commands before asking? :-)
Jul 03 00:31:35 *	rishi wants to move on to ln
Jul 03 00:33:01 <arpita>	got it
Jul 03 00:33:04 <arpita>	thanks
Jul 03 00:33:35 <rishi>	So everyone fire up the documentation of ln.
Jul 03 00:33:44 <ria>	ok
Jul 03 00:34:23 <ria>	rishi, please make me clear about the hard link and the soft link
Jul 03 00:34:31 <ria>	i am very confused with it
Jul 03 00:34:35 <ria>	<eof>
Jul 03 00:35:30 <rishi>	ria: We will come to that.
Jul 03 00:35:49 <ria>	ok
Jul 03 00:35:56 <rishi>	So ln is used to create links.
Jul 03 00:36:06 <rishi>	Links are of two types: hard and symbolic (or soft).
Jul 03 00:36:46 <rishi>	A hard link for a file is basically a synonym or duplicate tag for a file.
Jul 03 00:37:35 <rishi>	If you read about inodes in a Unix filesystem, you will see that each file (or directory) in a filesystem has an entry.
Jul 03 00:38:05 <rishi>	Each entry is an inode, and its index is an integer.
Jul 03 00:38:08 *	chiks (n=chatzill@125.20.11.34) has joined #dgplug
Jul 03 00:38:17 <rishi>	So if we create a hard link:
Jul 03 00:38:26 <rishi>	$ ln foo bar
Jul 03 00:38:43 *	makghosh (n=Joy@117.99.58.9) has joined #dgplug
Jul 03 00:39:01 <rishi>	... where foo was an existing file (or directory) and bar is the new hard link that was created, foo and bar will have the same inode number.
Jul 03 00:39:18 <rishi>	You can see the inode numbers of foo and bar as:
Jul 03 00:39:22 <rishi>	$ ls -i foo bar
Jul 03 00:40:01 <rishi>	You can also use the 'cp' command to create links.
Jul 03 00:40:11 <rishi>	$ cp -l foo bar
Jul 03 00:40:16 <rishi>	... will do the same thing as:
Jul 03 00:40:20 <rishi>	$ ln foo bar
Jul 03 00:40:56 <rishi>	However there is a difference.
Jul 03 00:41:35 <rishi>	The ln command will throw an error if the destination hard link already exists, but 'cp -l ...' will silently ignore it.
Jul 03 00:42:12 <rishi>	Other than hard links, there are symbolic or soft links.
Jul 03 00:42:40 <rishi>	Soft links are separate files, and unline hard links do not share the same inode.
Jul 03 00:42:46 <rishi>	So if you do:
Jul 03 00:42:51 <rishi>	$ ln -s foo baz
Jul 03 00:43:12 <rishi>	... you will end up with a symbolic link baz which points to foo.
Jul 03 00:43:24 <rishi>	You could have done the same with:
Jul 03 00:43:32 <sunny_slls>	!
Jul 03 00:43:33 <rishi>	$ cp -s foo baz
Jul 03 00:43:41 <rishi>	If you do:
Jul 03 00:43:47 <rishi>	$ ls -i foo bar baz
Jul 03 00:44:09 <rishi>	... you will find foo/bar have the same inode index, while baz is different.
Jul 03 00:44:14 <rishi>	sunny_slls: Ask.
Jul 03 00:44:38 *	Soumya_ (n=Soumya@59.164.98.244) has joined #dgplug
Jul 03 00:44:44 <ria>	!
Jul 03 00:45:31 <sunny_slls>	what's inode
Jul 03 00:47:50 *	Debashree has quit (Read error: 104 (Connection reset by peer))
Jul 03 00:47:52 *	amrita_ (n=amrita@117.201.96.109) has joined #dgplug
Jul 03 00:47:58 *	amrita_ has quit (Client Quit)
Jul 03 00:48:39 <rishi>	sunny_slls: http://en.wikipedia.org/wiki/Inode
Jul 03 00:48:55 <rishi>	One more: http://www.cyberciti.biz/tips/understanding-unixlinux-filesystem-inodes.html
Jul 03 00:49:16 <rishi>	Simply put, an inode is the entry of a file in a filesystem.
Jul 03 00:52:20 <rishi>	ria: Ask.
Jul 03 00:52:22 *	Debashree (n=Debashre@61.0.133.55) has joined #dgplug
Jul 03 00:52:35 <ria>	rishi, other than the inode what is the difference between hard and soft link?
Jul 03 00:53:06 <ria>	rishi, and what will happen when we delete any of the files in both cases?
Jul 03 00:53:16 <ria>	rishi, why do we need both?
Jul 03 00:54:28 <rishi>	ria: If you use hard links, the file will not be deleted until all the synonyms are removed.
Jul 03 00:54:56 <rishi>	Because the synonyms are basically one file only.
Jul 03 00:54:58 <sunny_slls>	!
Jul 03 00:55:24 <ria>	rishi, deleting which file?
Jul 03 00:55:35 <ria>	rishi, first one or the 2nd one?
Jul 03 00:55:55 <rishi>	ria: 1st and 2nd are same for hard links. Only the names are different.
Jul 03 00:56:03 <rishi>	Same inode == same file.
Jul 03 00:56:20 <rishi>	Its just like different names for the same person.
Jul 03 00:57:08 <khushi>	two pointers for same variable
Jul 03 00:57:16 <ria>	rishi, ok
Jul 03 00:57:33 <ria>	rishi, so deleting anyone will act in the same way right?
Jul 03 00:57:42 <rishi>	Yes.
Jul 03 00:57:45 <ria>	rishi, and what about soft links?
Jul 03 00:57:55 <rishi>	But if you remove the target to which a soft link was pointing to, the original file will get deleted independent of the soft link.
Jul 03 00:58:06 <arpita>	so to remove such a file remove command will have to be used with any 1 of the synonyms or both?
Jul 03 00:58:07 <rishi>	So you end up with a broken soft link.
Jul 03 00:58:28 <rishi>	arpita: Are you talking about hard or soft links?
Jul 03 00:58:34 <rishi>	If one does:
Jul 03 00:58:35 <arpita>	hard link
Jul 03 00:58:37 <rishi>	$ ln foo bar
Jul 03 00:58:45 <rishi>	... then until you do:
Jul 03 00:58:51 <rishi>	$ rm foo bar
Jul 03 00:58:53 <ria>	rishi, so we will have the 2nd file in soft link?
Jul 03 00:59:03 <rishi>	... the file will exist as one name or the other or both.
Jul 03 00:59:33 <ria>	i mean 1st will be deleted but 2nd not
Jul 03 00:59:34 <rishi>	ria: Yes, the soft link is a separate file. So you can separately delete the target and the link.
Jul 03 00:59:43 <ria>	ok
