Jul 22 19:00:14 <kushal>	<--SESSION STARTED-->
Jul 22 19:45:41 <kushal>	viggy_prabhu, you know which file isn't it ?
Jul 22 19:46:09 <viggy_prabhu>	kushal: sorry didnt get you.
Jul 22 19:47:15 <kushal>	viggy_prabhu, what do you mean by "viggy_prabhu> kushal: which file?" 
Jul 22 19:47:27 <kushal>	ecntr1, what you wanted from it ?
Jul 22 19:48:41 <viggy_prabhu>	kushal: in which file is the revision numbers which i have checked out are stored in my computer?
Jul 22 19:49:08 <kushal>	viggy_prabhu, see in .svn folder, if you can find there, I am just a user 
Jul 22 19:49:20 <viggy_prabhu>	kushal: ok cool
Jul 22 19:49:27 <viggy_prabhu>	kushal: <eof>
Jul 22 19:49:45 <ecntr1>	kushal: Actually.. i can't understand what it really meant...
Jul 22 19:49:50 <ecntr1>	<eof>
Jul 22 19:51:16 <kushal>	ecntr1, left hand side line numbers, and then user name who changed that line last time
Jul 22 19:51:25 *	amrita_ (n=amrita@117.201.96.111) has joined #dgplug
Jul 22 19:51:30 *	amrita_ has quit (Client Quit)
Jul 22 19:52:24 <amrita>	kushal, !
Jul 22 19:52:31 <kushal>	amrita, yes please 
Jul 22 19:52:35 <ecntr1>	but kushal, how it's possible that somebody else (kkhushi) changed Amrita's file?
Jul 22 19:52:45 <amrita>	kushal, on doing svn stat
Jul 22 19:52:52 <ecntr1>	<eof>
Jul 22 19:53:00 <kushal>	ecntr1, because all you are having commit access on the project 
Jul 22 19:53:07 <kushal>	"training"
Jul 22 19:53:10 <amrita>	kushal, !  +   amrita
Jul 22 19:53:19 <kushal>	amrita, yes please 
Jul 22 19:53:29 <ecntr1>	ok<eof>
Jul 22 19:53:33 <amrita>	kushal, what does that mean?
Jul 22 19:53:45 <kushal>	amrita, show me on rafb
Jul 22 19:53:50 <kishanGoyal>	!
Jul 22 19:53:53 <kushal>	kishanGoyal, yes 
Jul 22 19:54:02 <kishanGoyal>	http://rafb.net/p/UR2w1l69.html
Jul 22 19:54:21 <kushal>	kishanGoyal, ah, use username kishan 
Jul 22 19:54:22 <kushal>	:
Jul 22 19:54:23 <kushal>	:p
Jul 22 19:54:32 <kishanGoyal>	ok..
Jul 22 19:56:06 <kishanGoyal>	same error again!!!
Jul 22 19:56:19 *	amrita_ (n=amrita@117.201.97.127) has joined #dgplug
Jul 22 19:56:25 *	munichlinux has quit (Remote closed the connection)
Jul 22 19:56:47 *	amrita has quit (Nick collision from services.)
Jul 22 19:56:52 *	amrita_ is now known as amrita
Jul 22 19:57:30 <amrita>	kushal, sorry got dc , did you gave my answer?
Jul 22 19:57:41 <kishanGoyal>	http://rafb.net/p/mAAiwA97.html
Jul 22 19:57:55 <kushal>	amrita, show me on rafb, can not understand here
Jul 22 19:58:04 <amrita>	ok
Jul 22 19:58:43 <amrita>	kushal, http://rafb.net/p/mgJxAB41.html
Jul 22 19:58:47 <kushal>	amrita, you made any local changes
Jul 22 19:58:59 <amrita>	kushal, no
Jul 22 19:59:22 <kushal>	amrita, what is the out put of pwd 
Jul 22 19:59:23 <kushal>	?
Jul 22 19:59:58 <amrita>	http://rafb.net/p/mgJxAB41.html
Jul 22 20:00:02 <amrita>	oops
Jul 22 20:00:20 <amrita>	/home/amrita/training/trunk/amrita
Jul 22 20:00:37 <kushal>	ok
Jul 22 20:01:02 <kishanGoyal>	kushal: done...getting this..=  http://rafb.net/p/wbRzmG66.html
Jul 22 20:01:14 <kushal>	amrita, try svn revert on that file/folder 
Jul 22 20:02:09 *	mether has quit (Read error: 113 (No route to host))
Jul 22 20:03:34 <amrita>	kushal, done but same thing
Jul 22 20:04:00 *	S_2 (n=Packager@117.192.8.202) has joined #dgplug
Jul 22 20:04:13 *	Debashree (n=Debashre@117.201.96.174) has joined #dgplug
Jul 22 20:04:20 <kushal>	amrita, pm me please
Jul 22 20:04:21 *	ecntrk has quit (Read error: 110 (Connection timed out))
Jul 22 20:04:32 *	S_2 (n=Packager@117.192.8.202) has left #dgplug ("Leaving")
Jul 22 20:05:00 *	F_ (n=Packager@117.192.8.202) has joined #dgplug
Jul 22 20:05:16 *	F_ (n=Packager@117.192.8.202) has left #dgplug ("Leaving")
Jul 22 20:05:38 <kushal>	kishanGoyal, ok
Jul 22 20:06:06 <kushal>	any other question ?
Jul 22 20:06:34 <kishanGoyal>	not yet
Jul 22 20:07:37 <kushal>	amrita, I just did , svn revert amrita 
Jul 22 20:07:47 <kushal>	it got fixed, no idea why it happened 
Jul 22 20:08:44 <kushal>	amrita, btw, you have many files on your home folder, put them in different directories, clean the home :p
Jul 22 20:08:50 <kushal>	now next task
Jul 22 20:08:56 <amrita>	ok
Jul 22 20:09:14 <kushal>	amrita, if you want to change back to the last version you changed on prime3.c 
Jul 22 20:09:27 <kushal>	amrita, do a svn log prime3.c
Jul 22 20:09:47 *	amrita_ (n=amrita@117.201.97.127) has joined #dgplug
Jul 22 20:09:52 *	amrita_ has quit (Client Quit)
Jul 22 20:09:58 <amrita>	ok
Jul 22 20:10:25 <kushal>	amrita, now you can see all changes made on that file
Jul 22 20:10:34 <kushal>	amrita, like last change you made was ?
Jul 22 20:10:42 <kushal>	amrita, tell me the revision number 
Jul 22 20:11:07 <amrita>	kushal, 25
Jul 22 20:11:20 <kushal>	amrita, and the current revision ?
Jul 22 20:11:31 <amrita>	kushal, 30
Jul 22 20:12:10 <kushal>	amrita, so from 30 to change back to 25 do 
Jul 22 20:12:26 <kushal>	svn merge -r 30:25 prime3.c 
Jul 22 20:12:33 <kushal>	then do svn stat
Jul 22 20:12:38 <kushal>	and see the file next 
Jul 22 20:13:54 *	S_pack_F (n=Packager@117.192.8.202) has joined #dgplug
Jul 22 20:14:06 <kushal>	amrita, what you can see /
Jul 22 20:14:06 <kushal>	?
Jul 22 20:14:07 <amrita>	kushal, done
Jul 22 20:15:25 <amrita>	kushal, M      prime3.c
Jul 22 20:16:07 <kushal>	amrita, that means it is modified 
Jul 22 20:16:11 <kushal>	so commit itr 
Jul 22 20:16:12 <kushal>	now
Jul 22 20:16:24 <kushal>	with a message that you reverted it to revision 25
Jul 22 20:16:25 <Kkhushi>	svn up
Jul 22 20:16:29 <Kkhushi>	oops
Jul 22 20:16:44 <kushal>	:)
Jul 22 20:18:53 *	Kkhushi_ (n=khushbu@59.180.157.113) has joined #dgplug
Jul 22 20:19:13 *	Kkhushi has quit (Nick collision from services.)
Jul 22 20:19:19 *	Kkhushi_ is now known as Kkhushi
Jul 22 20:20:00 *	kushal has kicked S_pack_F from #dgplug (kushal)
Jul 22 20:20:27 *	kushal hates unknown coming to room and starting pms 
Jul 22 20:21:26 <kushal>	any questions ?
Jul 22 20:21:26 *	S_pack_F (n=Packager@117.192.8.202) has joined #dgplug
Jul 22 20:21:45 <kushal>	please please try to revert files you have
Jul 22 20:24:47 *	Debashree_ (n=Debashre@117.201.97.198) has joined #dgplug
Jul 22 20:27:26 <kushal>	any questions ?
Jul 22 20:29:50 <kushal>	I will check python home works tomorrow 
Jul 22 20:30:01 <kushal>	<--SESSION STOPPED-->
