Jun 27 19:02:30 <kushal>	----- Session starts ----
Jun 27 19:25:54 <mbuf>	sumitc: people who follow that are fooling themselves;
Jun 27 19:26:09 <mbuf>	sumitc: Ohh! I was University 3rd rank, if I can say that;
Jun 27 19:26:16 <parthachowdhury>	form a careeristic viewpoint what should we be doing at this stage in our life ?
Jun 27 19:26:19 <parthachowdhury>	*from
Jun 27 19:26:26 <mbuf>	parthachowdhury: I
Jun 27 19:26:33 <mbuf>	parthachowdhury: I'll come to that;
Jun 27 19:26:38 <mbuf>	--> #7
Jun 27 19:26:45 <parthachowdhury>	yes..sorry for the typo
Jun 27 19:26:54 <sumitc>	mbuf, that is good to hear. But most of the times I see my fellow students mugging up before the exam and score well even though most of them do not have any inkling about the content they are mugging
Jun 27 19:27:09 <mbuf>	sumitc: sad state, but true!
Jun 27 19:27:10 *	kopecks889 (n=koyel@117.201.96.61) has joined #dgplug
Jun 27 19:27:17 *	kopecks889 has quit (Client Quit)
Jun 27 19:27:25 <mbuf>	as a budding 'engineer' one must have the curiosity to experiment and learn new things
Jun 27 19:27:53 <mbuf>	most of the time students come to engineering because their parents forced them to hoping that their life is good; but, people who pay money to join such programs are not interested, but, do it just for the degree
Jun 27 19:28:11 <mbuf>	so they obviously have no interest and only use it as a time-pass; it doesn't help them or the faculty either;
Jun 27 19:28:16 <sumitc>	the biggest problem is the lack of curiosity for more knowledge
Jun 27 19:28:46 <SkyRocknRoll>	sumitc: and also the lazy proffessors
Jun 27 19:28:49 <mbuf>	sumitc: that is where Free Software user groups can help; Industry exposure can also trigger people on what 'state' they are in; competition helps :)
Jun 27 19:28:49 *	kopecks-89 (n=koyel@117.201.96.61) has joined #dgplug
Jun 27 19:28:54 <parthachowdhury>	sumitc: please follow online etiquette
Jun 27 19:29:03 <mbuf>	SkyRocknRoll: that is the mistake that students make as well!
Jun 27 19:29:08 <parthachowdhury>	don't but in between
Jun 27 19:29:26 <mbuf>	SkyRocknRoll: blaming faculty, management is an excuse by students; even that is not going to help you or others becoming an engineer;
Jun 27 19:29:47 <mbuf>	SkyRocknRoll: self-study is the best form of learning IMO, along with the help of user groups;
Jun 27 19:29:50 <sumitc>	parthachowdhury, I thought I was having a discussion with mbuf, maybe I missed something
Jun 27 19:30:21 <parthachowdhury>	ok ..sorry for that
Jun 27 19:30:42 <mbuf>	as much as one hunger for food, one must also have hunger to seek out for information, which includes using search engines, reading different books, online HOWTOs, talking to Free Software people, going through manuals;
Jun 27 19:30:46 *	Kkhushi1 (n=khushbu@59.180.154.81) has joined #dgplug
Jun 27 19:31:17 <mbuf>	no faculty/management is stopping a student from doing his/her work with Free Software; I fail to buy the excuse from students;
Jun 27 19:31:25 <mbuf>	--> #8
Jun 27 19:31:41 <mbuf>	So, just because you have a degree doesn't make you an engineer;
Jun 27 19:31:47 <SkyRocknRoll>	mbuf: yes but they can play really a good role in students life.. if they follow a professors etiquette it will be really nice . I learned all through sself learning with the help of internet
Jun 27 19:31:56 <mbuf>	Students in India are always on top of the world, they think they know everything, but, they seldom know anything!
Jun 27 19:32:11 <mbuf>	SkyRocknRoll: if you want to type something or ask something, type !
Jun 27 19:32:19 <mbuf>	SkyRocknRoll: I will then ask you to reply, please don't interrupt otherwise!
Jun 27 19:32:23 <SkyRocknRoll>	mbuf: sorry
Jun 27 19:32:50 <mbuf>	SkyRocknRoll: wrong! at your age, expecting a professor to spoonfeed students is a shame! Does someone spoonfeed food to you at this age?
Jun 27 19:33:07 <SkyRocknRoll>	mbuf: !
Jun 27 19:33:13 <parthachowdhury>	!
Jun 27 19:33:17 <mbuf>	SkyRocknRoll: since, I asked you a question, please reply
Jun 27 19:33:19 <mbuf>	parthachowdhury: wait!
Jun 27 19:33:37 <mbuf>	SkyRocknRoll: when you are hungry does food come directly to your mouth, or do you take food and eat?
Jun 27 19:33:42 <SkyRocknRoll>	mbuf: there are many colleges in india which donot have adequate infrastructure like internet
Jun 27 19:33:49 <mbuf>	SkyRocknRoll: answer my question, please
Jun 27 19:34:01 <SkyRocknRoll>	mbuf: no
Jun 27 19:34:11 <mbuf>	SkyRocknRoll: you take the plate, put food and eat, right?
Jun 27 19:34:14 <SkyRocknRoll>	mbuf: yes for 2nd question
Jun 27 19:34:24 <mbuf>	SkyRocknRoll: so when you have hunger for food, why not hunger for knowledge?
Jun 27 19:34:46 <mbuf>	SkyRocknRoll: I am afraid knowledge doesn't come to you and people in India (most of them) have a wrong notion of it that they can buy a degree;
Jun 27 19:35:05 <mbuf>	SkyRocknRoll: there are numerous training institutes in this country, that are mere money making houses;
Jun 27 19:35:17 <mbuf>	SkyRocknRoll: there are few exceptions too;
Jun 27 19:35:36 <SkyRocknRoll>	mbuf: hmmm yes i am a victim of one of those :(
Jun 27 19:35:45 <mbuf>	at this age, if you (and others' like you) expect to come a teach you something, it is a disgrace and shame
Jun 27 19:36:00 <mbuf>	what is required is only guidance and not spoonfeeding
Jun 27 19:36:00 *	kopecks (n=koyel@117.201.99.201) has joined #dgplug
Jun 27 19:36:06 <mbuf>	there is a big difference between the two;
Jun 27 19:36:20 <mbuf>	SkyRocknRoll: type ! please!
Jun 27 19:36:27 <mbuf>	SkyRocknRoll: if you want to talk!
Jun 27 19:36:44 <SkyRocknRoll>	mbuf: i thought u r talking with me
Jun 27 19:36:53 <SkyRocknRoll>	mbuf:  so i replied
Jun 27 19:37:01 <mbuf>	SkyRocknRoll: ok
Jun 27 19:37:13 *	parthachowdhury has quit ("WeeChat 0.2.6.2")
Jun 27 19:37:17 <mbuf>	there are no shortcuts in life, and if students felt that they can get a job because they got a certificate, they are doomed for sure
Jun 27 19:37:40 <mbuf>	because they will not know what to do in the job, if the certification doesnt' test the skills properly, and most of the time it has been the case;
Jun 27 19:38:10 <mbuf>	the first thing for students (in India0 to realize is that they are nowheree students from other countries, who are far better in their hands-on computer experience;
Jun 27 19:38:18 <mbuf>	*(in India);
Jun 27 19:38:36 <mbuf>	there are very few exceptional students, which is only < 5% of the entire class;
Jun 27 19:38:42 *	parthachowdhury (n=parthach@59.93.247.162) has joined #dgplug
Jun 27 19:38:57 <mbuf>	I find students in India only boasting, but, they lack any practical experience;
Jun 27 19:39:13 <mbuf>	boasting that they know this, that, and everything, but, then you ask a few questions, they are clueless!
Jun 27 19:39:25 <mbuf>	--> #9
Jun 27 19:39:36 <mbuf>	Reading habit is very important;
Jun 27 19:39:52 *	parthachowdhury has quit (Client Quit)
Jun 27 19:39:55 <mbuf>	in Free Software, one has to read lot of IRC, mailing list discussions; online HOWTOs, manuals et. al.
Jun 27 19:40:22 *	parthachowdhury (n=parthach@59.93.247.162) has joined #dgplug
Jun 27 19:40:29 <mbuf>	it is a means of gaining knowledge;
Jun 27 19:40:35 <mbuf>	--> #10
Jun 27 19:41:01 <mbuf>	--> #11
Jun 27 19:41:12 <mbuf>	Always make sure you use a meaningful subject line;
Jun 27 19:41:23 *	zer0c00l (n=zer0c00l@117.199.135.104) has joined #dgplug
Jun 27 19:41:28 <mbuf>	Don't write like "Urgent", "I want help"
Jun 27 19:41:54 <mbuf>	Use [OT] for off-topic discussions; use [Commercial] for job postings
Jun 27 19:42:01 <mbuf>	--> #12
Jun 27 19:42:10 *	akuscifi007 (n=akuscifi@122.162.81.208) has joined #dgplug
Jun 27 19:42:17 <mbuf>	this yet another common use from students in India;
Jun 27 19:42:27 <mbuf>	SMS is the worst form of communication (except when using SMS)
Jun 27 19:42:38 <mbuf>	don't use it anywhere else; it is considered very unprofessional;
Jun 27 19:43:06 <mbuf>	even on IRC, type as in full; grammar doesn't matter (our native language is not English); but, atleast use a spell checker
Jun 27 19:43:15 <mbuf>	--> #13
Jun 27 19:43:29 <mbuf>	The sentence is not grammatically correct, but, it is readable;
Jun 27 19:43:37 <mbuf>	--> #14
Jun 27 19:43:58 <mbuf>	This is yet another mistakes that students (in India) make;
Jun 27 19:44:13 <mbuf>	always end a sentence with a full-stop. Start a new sentence with a capital letter.
Jun 27 19:44:32 <mbuf>	While chatting I use semi-colon as a delimiter; comes from C and Perl :p
Jun 27 19:44:41 <mbuf>	--> #15
Jun 27 19:44:54 <mbuf>	Much better.
Jun 27 19:45:00 <mbuf>	--> #16
Jun 27 19:45:16 <mbuf>	Typing in capital letter means one is shouting.
Jun 27 19:45:25 <mbuf>	Acronyms are fine, but, avoid otherwise;
Jun 27 19:45:27 *	Kkhushi has quit (Read error: 110 (Connection timed out))
Jun 27 19:45:34 <mbuf>	--> #17
Jun 27 19:45:46 <mbuf>	There has always been a debate between top-posting and bottom-posting
Jun 27 19:46:03 <mbuf>	Since mailing list discussions are archived, one should never write above the previous reply.
Jun 27 19:46:13 <mbuf>	--> #18
Jun 27 19:46:18 <mbuf>	Always use interleaved, trimmed, bottom posting
Jun 27 19:46:28 <mbuf>	Trim content that is relevant, and reply below
Jun 27 19:46:44 <mbuf>	Just like in exams, you reply below the question and not above the question :)
Jun 27 19:46:57 <mbuf>	You can try replying above the question if you want to (for a change) :p
Jun 27 19:47:04 <mbuf>	--> #19
Jun 27 19:47:23 <mbuf>	When the discussions become long, you should again trim it and not keep quoting all the previous replies; it becomes ugly
Jun 27 19:47:40 <mbuf>	--> #20
Jun 27 19:48:01 <mbuf>	not everyone in this world is on broadband; so please don't send fancy HTML e-mails
Jun 27 19:48:12 <mbuf>	no red, blue, yellow colour, with italics style font;
Jun 27 19:48:20 <mbuf>	always use simple, plain ASCII text;
Jun 27 19:48:27 <mbuf>	what is important is your message is conveyed;
Jun 27 19:48:38 <mbuf>	--> #21
Jun 27 19:48:59 <mbuf>	Again, as there are still dial-up users, it is important not to send huge attachments to mailing lists;
Jun 27 19:49:14 <mbuf>	patch of code is acceptable; but, not forwards, pictures;
Jun 27 19:49:46 <mbuf>	--> #22
Jun 27 19:50:33 *	kopecks-89 has quit (Read error: 110 (Connection timed out))
Jun 27 19:50:34 <mbuf>	Don't blindly give your username and passwords of your e-mail accounts to social networking websites, else they will use that to check all your friends' e-mail addresses and the groups you belong to and send an invite to all
Jun 27 19:50:50 <mbuf>	there were students who asked me how can they do it? people are such ignorant!
Jun 27 19:50:59 <mbuf>	or use a different e-mail address for mailing lists;
Jun 27 19:51:07 <mbuf>	--> #23
Jun 27 19:51:25 <mbuf>	Some companies attach disclaimers for every e-mail sent from your company account;
Jun 27 19:51:49 <mbuf>	the disclaimer contents are against the philosophy, objectives of Free Software of knowledge sharing;
Jun 27 19:52:06 <mbuf>	don't use company account for such mailing list discussions;
Jun 27 19:52:23 <mbuf>	if public e-mail accounts are disabled through corporate network, that is your problem;
Jun 27 19:52:30 <mbuf>	--> #24
Jun 27 19:52:48 <mbuf>	People who are on dial-up sometimes subscribe in digest mode, where they receive e-mail once a week or so;
Jun 27 19:53:10 <mbuf>	such people when they want to reply to a topic, they blindly hit 'reply' and post their message; for them the subject line has the digest details as shown
Jun 27 19:53:23 <mbuf>	but, others who receive e-mails as and when it arrives will make no sense of it!
Jun 27 19:53:41 <mbuf>	so if you are not sure how to use digest mode, don't use it! or if you reply, change the subject line and quote whatever is relevant
Jun 27 19:53:52 <mbuf>	--> #25
Jun 27 19:54:22 <mbuf>	This guy has replied few lines and has left a big list of trailing messages; Urgh!
Jun 27 19:54:25 <mbuf>	--> #26
Jun 27 19:54:28 <mbuf>	--> #27
Jun 27 19:54:32 <mbuf>	--> #28
Jun 27 19:54:36 <mbuf>	--> #29
Jun 27 19:54:40 <mbuf>	--> 30
Jun 27 19:54:44 <mbuf>	--> #31
Jun 27 19:54:49 <mbuf>	--> #32
Jun 27 19:55:05 <mbuf>	all these in one e-mail! Erase the irrelevant text or don't use digest mode!
Jun 27 19:55:12 <mbuf>	--> #33
Jun 27 19:55:36 <mbuf>	Mailing list discussions are archived, so you can always refer to them later;
Jun 27 19:55:46 <mbuf>	so think twice before hitting the 'send' reply;
Jun 27 19:56:03 <mbuf>	*hitting the 'send' button;
Jun 27 19:56:09 <mbuf>	--> #34
Jun 27 19:56:16 <mbuf>	Some mailing list references that you can look at later;
Jun 27 19:56:35 <mbuf>	try to use words like 'please', 'thank you' often; even saying 'sorry' is ok;
Jun 27 19:56:57 <mbuf>	--> #35
Jun 27 19:57:21 <mbuf>	before you decide to work on some task/project, it is good to write about your skills, any area or domain expertise, timelines, and about yourself
Jun 27 19:57:38 <mbuf>	there is more to the community than just manual tasks; there is a social element also;
Jun 27 19:57:44 <mbuf>	--> #36
Jun 27 19:58:10 <mbuf>	Please don't make orders like these; the later being the inspiration for this presentation;
Jun 27 19:58:17 <mbuf>	--> #37
Jun 27 19:58:42 <mbuf>	as mentioned earlier you shouldn't do things because it is forced on to you;
Jun 27 19:58:58 <mbuf>	you should do things because you 'want' to do it, or you feel there is a 'need' to do it
Jun 27 19:59:20 <mbuf>	if you do a Final year (engineering) project without interest, it is a waste of time for you and your mentor
Jun 27 19:59:27 <mbuf>	--> #38
Jun 27 19:59:57 <mbuf>	having detailed discussion with mentor(s) is always good before you start; it could be how you want to work, or what difficulties you feel you will face
Jun 27 20:00:01 <mbuf>	or any issues that you might have;
Jun 27 20:00:25 <mbuf>	being open and honest is a good characteristic of an individual;
Jun 27 20:00:36 <mbuf>	--> #39
Jun 27 20:00:59 <mbuf>	this is one of those important soft skills
Jun 27 20:01:05 <mbuf>	--> #40
Jun 27 20:01:20 <mbuf>	--> #41
Jun 27 20:01:49 <mbuf>	If I typed in a language that you all don't know this conversation would have been over long time back;
Jun 27 20:02:19 <mbuf>	it is every important that we converse in a language that others' are comfortable with; if everyone else in the team are comfortable in a regional language, you are welcome to use it;
Jun 27 20:02:26 <mbuf>	--> #42
Jun 27 20:02:54 <mbuf>	you should choose a programming language that helps you solve an appropriate problem for a project or problem domain
Jun 27 20:03:15 <mbuf>	you should _never_ do a project because you know a particular programming language
Jun 27 20:03:41 <mbuf>	most students (in India) have the wrong approach, IMO; they will always do a project in the language they know;
Jun 27 20:04:02 <mbuf>	I am sorry to keep quoting 'students (in India)', but, that has been my experience;
Jun 27 20:04:27 <mbuf>	a good programmer will learn any new language in few days time, and gain experience with projects
Jun 27 20:04:39 <mbuf>	it is good to be a jack of all languages and a master of one;
Jun 27 20:04:54 <mbuf>	it is _not_ good to be a jack of one, and calling oneself the 'master' of one;
Jun 27 20:05:24 <mbuf>	also, choice of language is determined by customer requirements;
Jun 27 20:05:38 <mbuf>	you could still recommend one, but, customer or your immediate client decides for you;
Jun 27 20:05:51 <mbuf>	you never ever choose a project after you have chosen a programming language;
Jun 27 20:05:57 <mbuf>	--> #43
Jun 27 20:06:32 <mbuf>	because we have people from different backgrounds, and on different timezones it is important to ues the right communication tool for the right job at the right time with the right people
Jun 27 20:06:40 <mbuf>	we shall go through these tools
Jun 27 20:06:45 <mbuf>	--> #44
Jun 27 20:06:54 <mbuf>	here is a small list;
Jun 27 20:07:17 <mbuf>	Blogs are part of the Free Software culture; everyone should have a blog and post their updates or whatever they are working with;
Jun 27 20:07:29 <mbuf>	we will go through these;
Jun 27 20:07:36 <mbuf>	--> #45
Jun 27 20:07:59 <mbuf>	search engines also return postings from blogs;
Jun 27 20:08:15 <mbuf>	it gives an idea of what a person has been working or his/her views;
Jun 27 20:08:32 <mbuf>	Planet is a collection of all our blogs;
Jun 27 20:08:43 <mbuf>	RSS, Atom are the protocol formats;
Jun 27 20:08:47 <mbuf>	--> #46
Jun 27 20:09:01 <mbuf>	E-mail is useful for communication, and we all use it;
Jun 27 20:09:07 <mbuf>	just follow the mailing list guidelines when you post;
Jun 27 20:09:16 <mbuf>	--> #47
Jun 27 20:09:41 <mbuf>	when someone asks you a question and if you don't reply, it generally means you are not interested in responding immediately or you don't care;
Jun 27 20:09:53 <mbuf>	if you are away, you should mark your status as away;
Jun 27 20:10:08 <mbuf>	hence, communication should be very clear and prompt;
Jun 27 20:10:15 <mbuf>	--> #48
Jun 27 20:10:29 *	h3x (n=sumit@125.20.11.34) has joined #dgplug
Jun 27 20:10:39 <mbuf>	If you have any problems or issues, you should raise the issue immediately to the group or to your team;
Jun 27 20:10:55 <mbuf>	it is easier to escalate things early and fix things, rather than do last minute work;
Jun 27 20:11:23 <mbuf>	procrastination is evil; always try to finish things today; don't postpone work;
Jun 27 20:11:32 <mbuf>	if you finish things today, you can take more work tomorrow;
Jun 27 20:11:33 <kopecks>	mbuf how am i to know who my mentor will be if in case im willing to talk over a project idea?
Jun 27 20:11:46 <mbuf>	kopecks: if you want to talk, type !
Jun 27 20:11:54 <kopecks>	sorry
Jun 27 20:12:00 <mbuf>	kopecks: and I will prompt you to ask a question;
Jun 27 20:12:01 *	akuscifi007 has quit (Read error: 104 (Connection reset by peer))
Jun 27 20:12:16 *	akuscifi007 (n=akuscifi@122.162.81.208) has joined #dgplug
Jun 27 20:12:24 <kopecks>	i just wanted to know how am i to be sure who my mentor will be?
Jun 27 20:12:27 <mbuf>	kopecks: you need to talk to the project team members on who is interested in mentoring you
Jun 27 20:12:42 <mbuf>	kopecks: it is pretty straight-forward;
Jun 27 20:12:50 <kopecks>	okay.i get it
Jun 27 20:12:55 <kopecks>	thanks
Jun 27 20:12:56 <mbuf>	--> #49
Jun 27 20:13:10 <mbuf>	forums are also available for people who like the Web interface;
Jun 27 20:13:25 <mbuf>	--> #50
Jun 27 20:13:26 *	akuscifi007 has quit (Read error: 54 (Connection reset by peer))
Jun 27 20:13:54 *	akuscifi007 (n=akuscifi@122.162.81.208) has joined #dgplug
Jun 27 20:14:06 <mbuf>	Mailing lists, you already use; there can be mailing list for user groups, projects etc.
Jun 27 20:14:12 <mbuf>	--> #51
Jun 27 20:14:24 <mbuf>	You are already using IRC;
Jun 27 20:14:35 <mbuf>	sometimes just listening on the discussion can be useful on IRC;
Jun 27 20:14:48 <mbuf>	make good friends on IRC; you never know who will be helpful when you really need it;
Jun 27 20:14:54 <mbuf>	--> #52
Jun 27 20:15:05 <mbuf>	this is X-Chat screenshot; use the one you like;
Jun 27 20:15:21 <mbuf>	multi-tasking on different channels can be difficult first, but, you will get used to it;
Jun 27 20:15:28 <mbuf>	always try to hang in the channel whenever you are online;
Jun 27 20:15:36 <mbuf>	--> #53
Jun 27 20:15:46 <mbuf>	Instant Messenger chats are also available;
Jun 27 20:15:58 <mbuf>	You can do private chatting with these and on IRC;
Jun 27 20:16:04 <mbuf>	use the one that your project uses;
Jun 27 20:16:10 <mbuf>	--> #54
Jun 27 20:16:22 <mbuf>	Voice chat is good if you have important things to discuss;
Jun 27 20:16:34 <mbuf>	things that are critical or need immediate attention;
Jun 27 20:16:40 <mbuf>	but, avoid as much as possible;
Jun 27 20:16:48 <mbuf>	this might be difficult if team members are in different timezones;
Jun 27 20:16:56 <mbuf>	--> #55
Jun 27 20:17:05 <mbuf>	wikis are good for documentation and sharing content;
Jun 27 20:17:19 <mbuf>	you should always learn to use one;
Jun 27 20:17:26 <mbuf>	--> #56
Jun 27 20:17:46 <mbuf>	so, even when we are distributed, we use the different tools for different reasons, and still work together in a project;
Jun 27 20:17:56 <mbuf>	it is important to learn to use these tools for effective project work;
Jun 27 20:18:04 <mbuf>	I have emphasized this a lot :)
Jun 27 20:18:10 <mbuf>	--> #57
Jun 27 20:18:31 <mbuf>	So, before you ask a question, 'do some homework' -- meaning try to find soe answers on your own through these tools
Jun 27 20:18:47 <mbuf>	that is the curiosity to find answers, than expect someone to provide the answer to you
Jun 27 20:18:58 <mbuf>	--> #58
Jun 27 20:19:23 <mbuf>	In the Industry we generally use English as a means of communication;
Jun 27 20:19:41 <mbuf>	what is important is only reading and comprehension in English;
Jun 27 20:19:58 <mbuf>	I don't care about your written and spoken;
Jun 27 20:20:12 <mbuf>	but written -- don't use SMS, use a spell-check; grammar doesn't matter
Jun 27 20:20:31 <mbuf>	the reason being that there are lot of technical manuals that are written in English;
Jun 27 20:20:48 <mbuf>	there are HOWTOs, and lot of translation done in regional languges, but, that is mostly in countries in Europe;
Jun 27 20:21:04 <mbuf>	atleast, what I have seen;
Jun 27 20:21:08 <mbuf>	--> #59
Jun 27 20:21:27 <mbuf>	Reading habit is important; by comprehension I mean that you should be able to read a paragraph and understand what it says;
Jun 27 20:21:36 <mbuf>	you can improve this by reading newspapers;
Jun 27 20:21:47 <mbuf>	written and spoken are of least priority;
Jun 27 20:21:53 <mbuf>	--> #60
Jun 27 20:22:03 <mbuf>	It is good to have weekend discussions with mentors or team members;
Jun 27 20:22:18 <mbuf>	if you put it in your blog, your team members can see it whenever they have the time
Jun 27 20:22:26 <mbuf>	otherwise, discussions on IRC are fine;
Jun 27 20:22:31 <mbuf>	--> #61
